EXAMPLE,MODEL,CLUSTER_TITLE,BENCHMARK_MESSAGE_COUNT,LLM_MESSAGE_COUNT,MATCHED_MESSAGES,MISSING_MESSAGES,EXTRA_MESSAGES,PRECISION_PERCENT,RECALL_PERCENT,COVERAGE_PERCENTAGE,MESSAGE_COUNT_DEVIATION_PERCENT,FINAL_SCORE,PRECISION_FORMULA,RECALL_FORMULA,COVERAGE_FORMULA,DEVIATION_FORMULA,FINAL_SCORE_FORMULA
"Perfect Match",gemini-1.5-flash,"EcoBloom Summer Campaign: Planning & Revisions",44,44,44,0,0,100.0,100.0,100.0,0.0,100.0,"=(E2/D2)*100","=(E2/C2)*100","=(E2/C2)*100","=((D2-C2)/C2)*100","=(MAX(0,100-ABS(I2))*0.4)+(H2*0.3)+(F2*0.3)"
"Partial Match",gemini-1.5-flash,"FitFusion Rebranding Project: Design, Messaging & Legal",47,60,47,0,13,78.33,100.0,100.0,27.66,82.44,"=(E3/D3)*100","=(E3/C3)*100","=(E3/C3)*100","=((D3-C3)/C3)*100","=(MAX(0,100-ABS(I3))*0.4)+(H3*0.3)+(F3*0.3)"
"Poor Performance",gemini-1.5-flash,"GreenScape Sustainability Report: Content, Design & Legal",66,37,37,29,0,100.0,56.06,56.06,-43.94,69.24,"=(E4/D4)*100","=(E4/C4)*100","=(E4/C4)*100","=((D4-C4)/C4)*100","=(MAX(0,100-ABS(I4))*0.4)+(H4*0.3)+(F4*0.3)"
"Step-by-Step Calculation","","","","","","","","","","","","","","","",""
"Example 1: Perfect Match","","","","","","","","","","","","","","","",""
"Raw Data","","","","","","","","","","","","","","","",""
"Benchmark expects","","44","","","","","","","","","","","","","",""
"Model found","","","44","","","","","","","","","","","","",""
"Correctly matched","","","","44","","","","","","","","","","","",""
"Formula Calculations","","","","","","","","","","","","","","","",""
"Precision = (44/44)*100","","","","","","","","100.0%","","","","","","","",""
"Recall = (44/44)*100","","","","","","","","","100.0%","","","","","","",""
"Coverage = (44/44)*100","","","","","","","","","","100.0%","","","","","",""
"Deviation = ((44-44)/44)*100","","","","","","","","","","","0.0%","","","","",""
"Final Score = (100*0.4)+(100*0.3)+(100*0.3)","","","","","","","","","","","","100.0","","","",""
"Example 2: Partial Match","","","","","","","","","","","","","","","",""
"Raw Data","","","","","","","","","","","","","","","",""
"Benchmark expects","","47","","","","","","","","","","","","","",""
"Model found","","","60","","","","","","","","","","","","",""
"Correctly matched","","","","47","","","","","","","","","","","",""
"Extra messages","","","","","","","13","","","","","","","","",""
"Formula Calculations","","","","","","","","","","","","","","","",""
"Precision = (47/60)*100","","","","","","","","78.33%","","","","","","","",""
"Recall = (47/47)*100","","","","","","","","","100.0%","","","","","","",""
"Coverage = (47/47)*100","","","","","","","","","","100.0%","","","","","",""
"Deviation = ((60-47)/47)*100","","","","","","","","","","","27.66%","","","","",""
"Final Score = (72.34*0.4)+(100*0.3)+(78.33*0.3)","","","","","","","","","","","","82.44","","","",""
"Example 3: Poor Performance","","","","","","","","","","","","","","","",""
"Raw Data","","","","","","","","","","","","","","","",""
"Benchmark expects","","66","","","","","","","","","","","","","",""
"Model found","","","37","","","","","","","","","","","","",""
"Correctly matched","","","","37","","","","","","","","","","","",""
"Missing messages","","","","","29","","","","","","","","","","",""
"Formula Calculations","","","","","","","","","","","","","","","",""
"Precision = (37/37)*100","","","","","","","","100.0%","","","","","","","",""
"Recall = (37/66)*100","","","","","","","","","56.06%","","","","","","",""
"Coverage = (37/66)*100","","","","","","","","","","56.06%","","","","","",""
"Deviation = ((37-66)/66)*100","","","","","","","","","","","-43.94%","","","","",""
"Final Score = (56.06*0.4)+(56.06*0.3)+(100*0.3)","","","","","","","","","","","","69.24","","","",""
