MODEL,PROVIDER,SUCCESS,PERFORMANCE_RANK,CLUSTER_ID,CLUSTER_TITLE,CLUSTER_MESSAGES,CLUSTER_PARTICIPANTS,COVERAGE_PERCENTAGE,TOTAL_CLUSTERS,AVG_CLUSTER_SIZE,MAX_CLUSTER_SIZE,MIN_CLUSTER_SIZE,TOTAL_MESSAGES_CLUSTERED,DURATION_SECONDS,TOTAL_COST_USD,INPUT_TOKENS,OUTPUT_TOKENS,CLUSTER_SIZE_RATIO,CLUSTER_EFFICIENCY_SCORE,CLUSTER_QUALITY_GRADE,PROJECT_TOPIC,CLUSTER_TYPE,TEAM_SIZE,PROCESSING_SPEED_MSGS_PER_SEC,COST_PER_MESSAGE,COST_PER_CLUSTER,CLUSTER_DENSITY,CLUSTER_BALANCE_SCORE,OVERALL_MODEL_SCORE
google_gemini-2.5-flash,Google,True,1,1,EcoBloom Summer Campaign: Planning Revisions & Finalization,32,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,0.96,0.89,A,EcoBloom Campaign,Planning,4,1.27,0.000007,0.000237,0.53,0.85,0.89
google_gemini-2.5-flash,Google,True,1,2,FitFusion Rebranding: Project Kickoff Legal & Tagline Approval,38,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,1.14,0.94,A,FitFusion Rebranding,Rebranding,4,1.50,0.000007,0.000237,0.63,0.85,0.89
google_gemini-2.5-flash,Google,True,1,3,TechNova Product Launch: Planning & Budget Finalization,46,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,1.38,0.98,A,TechNova Launch,Product Launch,4,1.82,0.000007,0.000237,0.77,0.85,0.89
google_gemini-2.5-flash,Google,True,1,4,GreenScape Sustainability Report: Development & Deadline Extension,44,"Devon; Leah; Sam; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,1.32,0.97,A,GreenScape Report,Sustainability,4,1.74,0.000007,0.000237,0.73,0.85,0.89
google_gemini-2.5-flash,Google,True,1,5,UrbanEdge Social Media Strategy Development,15,"Devon; Leah; Sam; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,0.45,0.75,B,UrbanEdge Strategy,Social Media,4,0.59,0.000007,0.000237,0.25,0.85,0.89
google_gemini-2.5-flash,Google,True,1,6,Q3 Content Calendar Development & Finalization,25,"Devon; Leah; Sam; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,0.75,0.82,B,Q3 Content Calendar,Content Planning,4,0.99,0.000007,0.000237,0.42,0.85,0.89
google_gemini-1.5-flash,Google,True,2,1,EcoBloom Summer Campaign,17,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.85,0.78,B,EcoBloom Campaign,Planning,4,1.53,0.000007,0.000146,0.28,0.80,0.87
google_gemini-1.5-flash,Google,True,2,2,FitFusion Rebranding Project,15,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.75,0.75,B,FitFusion Rebranding,Rebranding,4,1.35,0.000007,0.000146,0.25,0.80,0.87
google_gemini-1.5-flash,Google,True,2,3,TechNova Product Launch,15,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.75,0.75,B,TechNova Launch,Product Launch,4,1.35,0.000007,0.000146,0.25,0.80,0.87
google_gemini-1.5-flash,Google,True,2,4,GreenScape Sustainability Report,15,"Devon; Leah; Sam; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.75,0.75,B,GreenScape Report,Sustainability,4,1.35,0.000007,0.000146,0.25,0.80,0.87
