MODEL,PROVIDER,SUCCESS,PERFORMANCE_RANK,CLUSTER_ID,CLUSTER_TITLE,CLUSTER_MESSAGES,CLUSTER_PARTICIPANTS,COVERAGE_PERCENTAGE,TOTAL_CLUSTERS,AVG_CLUSTER_SIZE,MAX_CLUSTER_SIZE,MIN_CLUSTER_SIZE,TOTAL_MESSAGES_CLUSTERED,DURATION_SECONDS,TOTAL_COST_USD,TOTAL_TOKENS,INPUT_TOKENS,OUTPUT_TOKENS,COST_PER_INPUT_TOKEN,COST_PER_OUTPUT_TOKEN,COST_PER_TOTAL_TOKEN,TOKEN_COST,ACCURACY,SIMILARITY,MESSAGE_IDS,PROJECT_TOPIC,CLUSTER_TYPE,TEAM_SIZE,PROCESSING_SPEED_MSGS_PER_SEC,COST_PER_MESSAGE,COST_PER_CLUSTER,CLUSTER_DENSITY,CLUSTER_BALANCE_SCORE,OVERALL_MODEL_SCORE
claude-3-haiku-20240307,Unknown,False,FAILED,0,N/A,0,N/A,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-3-opus-20240229,Unknown,False,FAILED,0,N/A,0,N/A,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-3-sonnet-20240229,Unknown,False,FAILED,0,N/A,0,N/A,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-1.5-flash,Unknown,True,7,1,EcoBloom Summer Campaign: Planning & Revisions,44,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,15.37,0.002535,27554,25474,2080,0.000075,0.000300,0.000092,0.002535,0.85,0.90,EcoBloom Campaign,Planning,4,19.52,0.000037,0.000058,0.88,0.97,147.58
gemini-1.5-flash,Unknown,True,7,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,15.37,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,FitFusion Rebranding,Legal Review,4,19.52,0.000008,0.000042,1.2,0.6,147.58
gemini-1.5-flash,Unknown,True,7,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,15.37,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,TechNova Launch,Budget Planning,4,19.52,0.000008,0.000037,1.36,0.41,147.58
gemini-1.5-flash,Unknown,True,7,4,"GreenScape Sustainability Report: Content, Design & Legal",37,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,15.37,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,GreenScape Report,Legal Review,4,19.52,0.000008,0.000069,0.74,0.86,147.58
gemini-1.5-flash,Unknown,True,7,5,UrbanEdge Social Media Strategy & Market Research,37,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,15.37,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,UrbanEdge Strategy,Strategy,4,19.52,0.000008,0.000069,0.74,0.86,147.58
gemini-1.5-flash,Unknown,True,7,6,Q3 Content Calendar Development,25,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,15.37,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,Q3 Content Calendar,Content Planning,4,19.52,0.000008,0.000101,0.5,0.58,147.58
gemini-1.5-flash,Unknown,True,7,7,GreenScape Sustainability Report Deadline Extension,29,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,15.37,0.002535,27554,25474,2080,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,GreenScape Report,Sustainability,4,19.52,0.000008,0.000087,0.58,0.68,147.58
gemini-1.5-flash-002,Unknown,True,5,1,EcoBloom Summer Campaign: Planning & Client Revisions,44,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.74,0.002535,27555,25474,2081,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,EcoBloom Campaign,Planning,4,20.35,0.000008,0.000058,0.88,0.97,151.74
gemini-1.5-flash-002,Unknown,True,5,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.74,0.002535,27555,25474,2081,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,FitFusion Rebranding,Legal Review,4,20.35,0.000008,0.000042,1.2,0.6,151.74
gemini-1.5-flash-002,Unknown,True,5,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.74,0.002535,27555,25474,2081,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,TechNova Launch,Budget Planning,4,20.35,0.000008,0.000037,1.36,0.41,151.74
gemini-1.5-flash-002,Unknown,True,5,4,"GreenScape Sustainability Report: Content, Design & Legal",37,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.74,0.002535,27555,25474,2081,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,GreenScape Report,Legal Review,4,20.35,0.000008,0.000069,0.74,0.86,151.74
gemini-1.5-flash-002,Unknown,True,5,5,UrbanEdge Social Media Strategy & Market Research,37,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.74,0.002535,27555,25474,2081,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,UrbanEdge Strategy,Strategy,4,20.35,0.000008,0.000069,0.74,0.86,151.74
gemini-1.5-flash-002,Unknown,True,5,6,Q3 Content Calendar Development,25,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.74,0.002535,27555,25474,2081,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,Q3 Content Calendar,Content Planning,4,20.35,0.000008,0.000101,0.5,0.58,151.74
gemini-1.5-flash-002,Unknown,True,5,7,GreenScape Sustainability Report Deadline Extension,29,Devon; Sam; Leah; Jordan,100.0,7,42.86,68,25,300,14.74,0.002535,27555,25474,2081,7e-08,0.000000,0.000000,0.000000,0.002535,0.85,0.90,GreenScape Report,Sustainability,4,20.35,0.000008,0.000087,0.58,0.68,151.74
gemini-1.5-flash-8b,Unknown,True,2,1,EcoBloom Summer Campaign Project Updates and Revisions,44,Devon; Sam; Leah; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,EcoBloom Campaign,Revisions,4,26.2,0.000005,0.000029,0.88,0.54,176.32
gemini-1.5-flash-8b,Unknown,True,2,2,FitFusion Rebranding Project,14,Devon; Sam; Leah; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,FitFusion Rebranding,Rebranding,4,26.2,0.000005,0.000090,0.28,0.46,176.32
gemini-1.5-flash-8b,Unknown,True,2,3,TechNova Product Launch Campaign,15,Devon; Sam; Leah; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,TechNova Launch,Product Launch,4,26.2,0.000005,0.000084,0.3,0.5,176.32
gemini-1.5-flash-8b,Unknown,True,2,4,GreenScape Sustainability Report Project,61,Devon; Leah; Sam; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,GreenScape Report,Sustainability,4,26.2,0.000005,0.000021,1.22,-0.02,176.32
gemini-1.5-flash-8b,Unknown,True,2,5,UrbanEdge Social Media Strategy,15,Devon; Leah; Sam; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,UrbanEdge Strategy,Strategy,4,26.2,0.000005,0.000084,0.3,0.5,176.32
gemini-1.5-flash-8b,Unknown,True,2,6,FitFusion Brand Guidelines Project,45,Devon; Sam; Leah; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,FitFusion Rebranding,General,4,26.2,0.000005,0.000028,0.9,0.51,176.32
gemini-1.5-flash-8b,Unknown,True,2,7,Q3 Content Calendar Project,25,Devon; Leah; Sam; Jordan,90.67,9,30.22,61,14,272,10.38,0.001265,27541,25474,2067,4e-08,0.000000,0.000000,0.000000,0.001265,0.85,0.90,Q3 Content Calendar,Content Planning,4,26.2,0.000005,0.000051,0.5,0.83,176.32
