MODEL,SUCCESS,CLUSTER_ID,CLUSTER_TITLE,CLUSTER_MESSAGES,CLUSTER_PARTICIPANTS,TOTAL_CLUSTERS,TOTAL_MESSAGES_CLUSTERED,DURATION_SECONDS,INPUT_TOKENS,OUTPUT_TOKENS,COST_PER_INPUT_TOKEN,COST_PER_OUTPUT_TOKEN,COST_PER_TOTAL_TOKEN,TOKEN_COST,MESSAGE_IDS
gemini-1.5-flash,TRUE,1,EcoBloom Summer Campaign: Planning & Revisions,44,Devon; Sam; Leah; Jordan,7,300,15.37,25474,2080,7.5e-05,0.0003,9.19848297887784e-11,2.5345499999999997e-06,22134578-5778-6400-5191-271162589398;88368617-3438-1582-1633-993114365965;63589258-2665-2919-6468-930989595440;msg_981165;msg_477411;86711511-2179-3824-4953-579162212305;35860114-8820-9928-5309-581731443770;msg_905849;15266321-3875-1026-4452-119307117214;msg_203242;40337317-2105-5590-6975-826091727533;msg_645206;93033562-8118-3569-4934-788342004933;24309763-9459-8824-1545-501396328935;20332476-6920-4302-5336-113611908517;msg_424698;msg_355960;65403166-9491-6336-8746-268759584826;14701344-7628-6183-5485-727997535675;75437607-9219-4782-1880-580504699028;48113516-3849-2732-9463-426944823033;16880783-9744-8502-3087-182629100417;18388253-7595-1899-7610-430155044095;msg_413622;97793405-9930-4440-4055-276235122282;10191428-5610-1427-1389-809040353424;99416645-8075-3745-2246-719190781053;msg_887188;63623764-8346-6657-8741-154647257735;91098423-9560-2030-5160-117117918408;msg_580240;87915652-8689-4060-4677-198674022475;msg_977937;67184995-7626-6922-4521-825104316274;94778891-8816-6791-1541-388207679624;14626073-9936-8929-1705-935373823409;msg_841170;48004433-9073-3051-7678-330917538424;msg_874414;msg_468202;52567122-2790-3237-3503-497594326122;msg_793862;55889751-4109-9727-9786-922819287712;57870695-4790-8332-7377-402611608108
gemini-1.5-flash,TRUE,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,Devon; Sam; Leah; Jordan,7,300,15.37,25474,2080,7.5e-05,0.0003,9.19848297887784e-11,2.5345499999999997e-06,msg_459632;44892717-4781-4019-6275-765997652302;74403607-7537-5303-4309-958665063151;28558858-2589-8557-4726-461254990655;msg_243580;80060673-6560-9786-1693-601552239029;msg_153499;15165980-5565-8914-7707-452952523944;msg_999044;92249073-5308-9564-9321-690410014331;msg_506146;msg_169381;89923757-7559-1998-1580-933336669221;20094366-5892-5871-1818-927423502726;56372363-8346-2735-7841-651145646651;59058729-1378-4308-6617-248256360302;msg_849786;33721990-5164-1876-5575-562243943846;17871623-4117-1173-6481-690616901486;95525867-9057-9660-7547-353573110453;msg_992331;16152704-9217-7456-4977-661535831943;54246879-4365-8565-1125-122630961121;33185281-7614-7305-1697-147067521502;82397435-6368-7333-7357-636592704042;22809787-3699-7469-7787-351140961721;43469394-3052-6895-1942-493803595557;msg_518948;msg_472555;87581963-1494-4718-5940-182350358557;91374599-6189-1081-6082-728230083363;73731994-9610-3024-6036-897587853479;msg_943402;msg_502808;89733827-5500-9460-2029-184959697753;18528557-2574-1472-9013-394260388013;25727998-9026-2887-8491-159034742753;76341486-1506-4127-6464-638959287412;msg_943627;msg_411652;80537355-7902-3219-7381-411754329605;54374166-7452-2104-5268-810223569621;msg_822247;msg_771939;21600218-1006-1286-6177-419444435006;65028746-6992-7205-5628-400694459015;87403981-2101-6955-8963-477075929381;31726260-1968-6360-8373-823311733099;msg_767457;msg_133172;msg_404025;96864939-2064-7731-7695-521817713048;33567842-8905-9445-5864-886398050823;msg_336848;msg_264816;27494565-3864-2766-9412-701436069704;12602346-7359-1499-8693-321063302851;msg_608258;37566013-4091-2456-3126-520560393595;85410799-4740-9903-2062-112699104604
gemini-1.5-flash,TRUE,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,Devon; Sam; Leah; Jordan,7,300,15.37,25474,2080,7.5e-05,0.0003,9.19848297887784e-11,2.5345499999999997e-06,75504910-5751-3016-1332-961201245710;47888207-3266-7833-5425-140963587769;18197881-8669-9131-8372-486387974544;34673095-9318-5001-7637-384067849025;71655669-8747-3184-6254-360139784600;58822314-3474-3401-4620-120783648321;58178360-8416-6209-8000-170930922651;99626225-1089-3961-8622-451036507414;74823271-5192-3732-6062-336270709430;msg_345347;msg_802248;71289537-6829-7182-3493-198601298631;96052284-3798-2713-4527-885844971873;52966311-4769-4629-2087-849116346154;msg_991628;msg_553954;26636978-6607-5081-8379-271163542191;73656653-3043-5831-9963-457498923092;17877968-4414-6438-7496-883588115149;63109706-6415-6999-3469-614669596852;49920557-8730-3180-5564-992247395739;25892571-6532-6790-6793-184734400623;10723624-6218-1990-3077-869788344849;46261507-9107-9065-2031-454354773674;72757866-7327-6403-8119-185567119821;msg_521470;msg_551826;58801059-6194-9020-3730-580697745232;85416863-7509-4870-1612-542888182658;45691263-6323-5758-2352-211894951254;41762333-1148-4608-2050-192189799504;msg_995663;17442924-7084-7867-1911-282372129165;26192551-8488-6135-5714-996010981121;msg_563447;msg_664620;56667475-8356-1916-7982-277012078363;90912549-3812-6879-8666-582482794005;17116670-4611-7344-1387-525212996704;30934130-5682-7074-7987-840186853358;41808764-4771-4809-4212-840196922015;51354040-9654-7135-5361-561562481888;msg_887504;msg_482105;23261002-7495-1112-5984-507268924451;70388158-6600-4920-7663-549264690174;92704663-8684-1522-7576-447522262564;msg_693883;65503149-7156-3629-7385-664559971202;86181394-7857-5360-5925-471351033678;93591019-2386-2515-4674-618014408254;46468823-1333-8677-9643-831785553192;27822607-3291-4015-6188-676959108903;51785697-3080-7989-5705-246623049973;92044302-3043-8273-9605-327904678723;67838674-2764-5587-6080-353742830527;23045530-9174-5513-4637-692675235530;msg_270861;msg_339239;68693547-3804-4674-4963-541591798563;55818921-2609-4445-2644-886322473110;msg_342442;msg_316000;31042701-3374-5463-2580-542236924187;90964188-7884-1733-8311-841746481740;63176565-8678-5179-9114-436767146685;msg_525065;17596685-7380-8850-4927-268641041511
gemini-1.5-flash,TRUE,4,"GreenScape Sustainability Report: Content, Design & Legal",37,Devon; Sam; Leah; Jordan,7,300,15.37,25474,2080,7.5e-05,0.0003,9.19848297887784e-11,2.5345499999999997e-06,msg_238521;36430043-6841-7974-9370-494591733669;msg_150305;94519604-7161-2064-4830-431646743321;40625955-6621-4500-4448-424801431445;51117251-1283-1644-2968-808990646575;54951801-5188-3990-5872-366575578020;44394584-7634-9629-5248-925171623037;54271562-5985-6026-5359-354786429674;56203575-9340-1710-1307-962415928057;msg_500667;89560616-7801-9813-2834-133330424801;71785025-8825-9489-6334-929198526534;55430253-9644-4880-8128-101177984829;80865324-2698-6442-9775-660119980801;msg_319378;60966198-9858-3489-9039-328447593238;68891314-1009-8076-8317-735368354347;20460846-6483-7404-7846-590544129153;80733144-6454-7708-4999-804066376101;msg_360973;45893560-4436-8010-3083-960305443122;59529766-2571-8217-3112-555884466402;19507291-5778-8054-9731-895303573778;23336222-1774-1589-1006-879639183268;88110716-6824-4504-2471-251092657690;msg_423277;76268635-1012-2916-4040-890965957716;84296208-6019-2617-1134-269507825455;36678494-7090-9142-7620-841589805570;61502156-9120-2150-3156-775603577778;29273655-6601-1424-2089-695643760368;95869725-3499-7634-4268-917297667964;93241340-5270-1464-9497-638710267969;15883790-2538-3848-9500-338625873106;msg_656837;msg_160077
gemini-1.5-flash,TRUE,5,UrbanEdge Social Media Strategy & Market Research,37,Devon; Sam; Leah; Jordan,7,300,15.37,25474,2080,7.5e-05,0.0003,9.19848297887784e-11,2.5345499999999997e-06,msg_556389;15957113-5221-7223-3480-282403977914;67832598-3152-9083-7426-190507860944;29598875-3462-1848-1173-870415695261;83164063-1504-6726-3684-374235080227;30022513-7527-3397-7666-421804508220;16785349-6004-8179-7108-923746453823;msg_499970;38784738-4524-2365-6561-846836129577;74781457-6360-9433-8273-525927583867;68392514-7064-9043-1289-487319380968;13212849-6352-1103-2809-320270357660;msg_577319;73634500-8250-9628-8355-629218445369;67436266-8085-9454-7991-107878598537;msg_732684;38511539-6134-3125-7177-774670203692;msg_370103;98939084-2628-2042-2572-627757432038;24489997-3635-5113-5628-420275660641;82505190-9627-3987-6133-390205666184;82433253-2723-1501-5630-334502389070;msg_500273;msg_667063;59738075-6607-1651-2854-307971194667;92600392-4584-3562-4790-729689678916;msg_290007;35240001-2505-2097-4672-950736106462;msg_775574;msg_707281;msg_851473;38186819-4225-2683-6246-861827755354;97097388-8744-9313-8764-679238115867;11549743-8399-5447-3499-455927188133;89944000-4105-3364-9561-766067061697;61858411-9894-8749-3977-829842477639;14331459-7543-9900-9355-321344558153
gemini-1.5-flash,TRUE,6,Q3 Content Calendar Development,25,Devon; Sam; Leah; Jordan,7,300,15.37,25474,2080,7.5e-05,0.0003,9.19848297887784e-11,2.5345499999999997e-06,msg_152827;34573576-3834-2769-5520-574187293782;63800256-4156-3331-6216-954701240062;41472380-1435-6377-1709-894271206875;65252467-4818-3936-6497-651841085634;18724278-8502-7742-2932-966694793302;msg_806154;15986626-1082-3341-5424-722768085088;67019242-7566-5066-1240-884391902173;53725574-1680-8716-8547-190422191761;64524653-1600-1216-6921-821854571178;msg_751225;msg_795156;95374748-4169-9822-3609-527089683677;90065696-4929-5420-6722-866443477441;msg_780738;msg_552287;msg_917737;44378632-3335-5013-6427-542958006124;33689431-3831-6937-2787-982983898698;msg_256674;64040789-3189-3203-7258-419616660008;msg_769873;13488245-7279-7996-3961-881245746374;60562257-8946-2284-9497-368816533120
gemini-1.5-flash,TRUE,7,GreenScape Sustainability Report Deadline Extension,29,Devon; Sam; Leah; Jordan,7,300,15.37,25474,2080,7.5e-05,0.0003,9.19848297887784e-11,2.5345499999999997e-06,45855861-1067-8553-4669-462569061949;msg_821380;msg_786364;msg_800061;35064293-4183-5752-2306-883371104308;46579304-9954-7774-5331-809480671162;92099886-5617-3134-5735-824383341320;msg_915923;71846370-1077-6786-8145-459165495702;24335588-7768-1986-1641-196573333186;msg_436334;30922554-5361-7411-9798-448950251422;73412010-7460-5742-1557-261768656481;56293264-7499-3626-8375-112445393853;91640943-7851-8908-5664-234104954627;11845926-1929-1022-4878-326930335294;msg_141922;37617143-9935-8907-6928-150650565171;84998689-8020-3420-1154-997048592968;94549679-6022-2340-3728-861810559243;msg_274735;23303356-9615-6994-2451-167145897353;61912007-9679-2284-1092-320217752544;67740859-2514-3663-2204-487722053825;21857894-9723-3826-2505-882615021087;21610446-2503-3841-1499-549498840478;76003737-5821-2877-8462-793140560211;msg_821593;59396431-3203-7958-1515-467605242833
gemini-1.5-flash-002,TRUE,1,EcoBloom Summer Campaign: Planning & Client Revisions,44,Devon; Sam; Leah; Jordan,7,300,14.74,25474,2081,7.5e-05,0.0003,9.199237887860642e-11,2.53485e-06,msg_700104;msg_562286;81557078-7650-6700-7658-333505554451;83783700-9664-5725-8216-778729504998;msg_787836;26229270-5081-1756-6838-736645832659;68876511-8050-7601-7104-751787730031;msg_153636;23037678-2185-6252-6638-333459034616;35547397-1090-7613-6432-360614859063;msg_252808;10910689-6722-1927-9083-764649715667;85085713-2182-7652-2283-528864891996;msg_233865;msg_246041;57197013-6106-5957-3065-174166859357;86543373-6351-6111-1538-500168179879;63608122-6179-4425-2208-239852459805;40470705-6809-9064-9419-161793156034;msg_966542;msg_911334;98814104-4886-1518-7344-425434041064;msg_372022;59353414-6842-9067-7819-215134292438;89751155-6914-6543-8592-310563211934;82766179-3786-6212-5073-742438074389;msg_386466;84779646-4549-9601-4798-110022058424;34190928-2454-8626-9006-571228891116;64124594-3908-3004-5659-677599764902;33307419-8154-7442-6627-920784545907;86904191-5055-6127-5082-501405382057;39121307-9651-5412-3863-745671978794;msg_235691;88960249-8560-6863-1633-510633657135;24002835-5236-8815-8303-346251354045;37714137-4367-2468-4623-478429589327;76992334-1591-8851-6686-168935153764;97948474-6682-2671-1394-290659424017;75432495-5792-5623-2542-338610091534;20077837-8782-2965-9847-172649275021;57457117-5706-2635-8222-235046237670;msg_287197;28181124-2394-8646-3673-429989183359
gemini-1.5-flash-002,TRUE,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,Devon; Sam; Leah; Jordan,7,300,14.74,25474,2081,7.5e-05,0.0003,9.199237887860642e-11,2.53485e-06,54824226-7348-9562-1582-355612557263;93646826-7903-7965-1492-753778886809;msg_486138;48768605-1585-6841-3860-689051437565;msg_388652;61564356-4049-3158-7672-288463968957;88407819-4793-6391-1240-239199104977;68059827-9229-8222-4106-245171814765;84083138-8810-3551-1975-778339952068;47471558-3193-8554-5284-792234429472;14173394-7420-3768-8865-166489178334;msg_646274;82719943-1426-9999-4515-245103889688;51195702-6415-1246-1534-403860497225;93138828-1590-1604-7672-732052409773;msg_189175;msg_121619;51694431-4925-2383-9642-663133447217;msg_296527;73292059-9366-4244-6679-441403918767;msg_652425;14307571-8756-1744-5338-789525389905;msg_374246;msg_550741;74451426-9476-4587-7061-867532221828;msg_781663;msg_393744;78572462-9489-1107-2861-955361974297;63936387-5482-4540-2471-297945252425;94553220-4704-6587-2268-495286115099;69824141-4745-9864-7398-928816417997;54066917-3934-6346-5994-882205990914;96122096-9401-1344-6360-168569233123;73435330-2567-1256-9155-603535438390;59169910-6536-4207-7259-207255293146;65136281-8229-7841-7281-602909496626;msg_697850;16484714-8263-3677-5079-904222824985;52660862-6805-3660-6897-236260057192;65301560-4130-4470-4662-461689199573;17996918-7071-3941-9815-814979209359;50584048-4685-2618-9492-117210056752;msg_992661;37594232-7466-5185-3775-961987165500;msg_387738;77101256-8694-5940-5744-792435804181;64041918-2386-4194-1948-478143709398;28238540-1759-7617-8662-731528704956;76689413-1848-9363-1555-672923362256;69102469-9440-6309-4926-184142114808;73687056-5267-1986-4148-182859989510;msg_214421;93576273-5300-9602-9411-668401474041;44915978-3896-4839-1316-108343532010;33241033-1809-3165-5125-166636245376;40551300-2235-1211-4161-666528880135;80234576-3013-5133-9991-134774902992;53630643-7997-8098-1231-998934671223;81747297-1185-7810-2097-918154985071;79793745-5190-4866-1261-917964330225
gemini-1.5-flash-002,TRUE,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,Devon; Sam; Leah; Jordan,7,300,14.74,25474,2081,7.5e-05,0.0003,9.199237887860642e-11,2.53485e-06,msg_107815;74866794-8323-4938-9581-826786263132;65934725-6077-1191-3152-728260303290;40832847-1960-6487-1053-640972571986;50008108-3809-2159-3208-801496667939;msg_321580;78793019-4798-1934-4591-392089730619;92692999-7875-3988-9112-407155993377;85526548-8645-4418-7149-879360512508;95796125-7578-1563-3055-309920896679;56017463-6727-1109-3061-321689971784;88321086-6107-3199-6197-263527207680;msg_112224;msg_437187;71714881-4209-5842-5979-241493960668;68598155-2348-1920-9343-598837569976;12542195-1559-1066-9293-559121206088;67207101-3388-5349-9293-666903420771;msg_429330;67197035-2784-1691-6957-175994259058;msg_655472;28906200-9888-4825-5205-663497506022;14352845-5898-6870-7854-617337696726;msg_995179;28286744-5688-4208-1828-986880213488;26664689-6702-9039-7010-539524690696;msg_612582;33266883-9140-1392-5427-480671222330;msg_543963;56219797-7030-9861-7982-157793630315;39154169-1827-2634-4256-161488847533;23344979-9852-6780-3085-556906545010;msg_326237;91776242-1721-1924-7696-446793356954;73972981-2619-6692-1063-510937222244;77474462-6401-1566-1692-285830567858;msg_587874;65896194-8311-3297-6660-905146159711;msg_424431;97342644-8537-7617-2373-623714914369;97384088-3710-4037-6573-717922931641;44277060-7232-2691-7595-503126405042;66250028-8210-6214-5944-892443265421;64094528-8481-2487-3422-112399757364;33774230-3535-6680-7329-477323957664;72793720-5541-9122-9959-522207635554;26167026-9757-2278-7517-740478175893;msg_332574;msg_381021;88678476-6788-9540-4242-215979151005;93052641-5582-9741-1483-284180120100;msg_734264;94486503-2563-2512-5590-509972269771;msg_754708;79687722-1659-7229-1350-217613219272;msg_386510;42848626-3926-3798-2309-745050740415;13137857-9388-3268-5740-871609311521;77440149-6259-2813-9579-299344992727;msg_748878;43829343-2594-5316-5608-969358308018;52900912-1468-8344-9660-586861344735;41148301-3301-7792-8862-518756527171;56624378-6874-2427-3251-373882789916;14516836-3497-3010-2062-764347911822;msg_847954;msg_326376;93821889-5342-4274-3164-265435987772
