model,provider,model_name,duration,num_clusters,coverage,avg_cluster_size,total_cost,input_tokens,output_tokens
openai_gpt-3.5-turbo,openai,gpt-3.5-turbo,11.821510791778564,14,0.6066666666666667,13.0,0.020744,11972,1393
openai_gpt-4o,openai,gpt-4o,12.781770706176758,11,0.6666666666666666,18.181818181818183,0.07769999999999999,11709,1277
google_gemini-1.5-flash,google,gemini-1.5-flash,11.205761432647705,10,0.6666666666666666,20.0,0.0014613,13124,1590
google_gemini-1.5-pro,google,gemini-1.5-pro,17.63413095474243,6,0.6666666666666666,33.333333333333336,0.07143000000000001,13124,1481
google_gemini-2.0-flash,google,gemini-2.0-flash,7.769890308380127,6,0.6666666666666666,33.333333333333336,0.0014805,13124,1654
google_gemini-2.5-flash,google,gemini-2.5-flash,24.72886562347412,6,0.6666666666666666,33.333333333333336,0.001411125,13275,1385
google_gemini-2.5-pro,google,gemini-2.5-pro,38.64801859855652,6,0.6666666666666666,33.333333333333336,0.07159125,13275,1454
google_gemma-3-1b-it,google,gemma-3-1b-it,2.307324171066284,5,0.016666666666666666,5.0,0.0,13125,428
google_gemma-3-4b-it,google,gemma-3-4b-it,9.231275081634521,12,0.34,8.5,0.0,13125,0
google_gemma-3-12b-it,google,gemma-3-12b-it,9.232744216918945,9,0.6533333333333333,21.77777777777778,0.0,13125,0
google_gemma-3-27b-it,google,gemma-3-27b-it,32.08210039138794,11,0.6633333333333333,18.09090909090909,0.0,13275,0
xai_grok-2-1212,xai,grok-2-1212,23.199724435806274,7,0.6666666666666666,28.571428571428573,0.01695,12740,2105
xai_grok-2-vision-1212,xai,grok-2-vision-1212,39.396846532821655,11,0.6666666666666666,18.181818181818183,0.017308,12740,2284
xai_grok-3,xai,grok-3,10.656372785568237,6,0.6666666666666666,33.333333333333336,0.027143999999999998,11588,992
