MODEL,PROVIDER,SUCCESS,DURATION_SECONDS,TIMESTAMP,NUM_REFINED_CLUSTERS,NUM_STEP1_CLUSTERS,CLUSTER_COUNT_REDUCTION,AVG_CLUSTER_SIZE,AVG_STEP1_SIZE,SIZE_REDUCTION,SIZE_STD_REDUCTION,TOTAL_PARTICIPANTS,TOTAL_OPERATIONS,MERGE_OPERATIONS,SPLIT_OPERATIONS,REFINE_OPERATIONS,AVG_TITLE_SIMILARITY,AVG_COMBINED_SIMILARITY,HIGH_QUALITY_MATCHES,QUALITY_RATE,CLUSTER_TITLES
xai_grok-2-vision-1212,xai,True,9.974639415740967,2025-10-01T10:27:18.401702,10,15,5,30.0,20.0,-10.0,-10.677578744011317,4,0,0,0,0,0.43219395726919174,0.43219395726919174,4,0.4,Merged: cluster_001 + cluster_006 + cluster_011; Merged: cluster_002 + cluster_012; Merged: cluster_003 + cluster_013; Merged: cluster_004 + cluster_010 + cluster_014; UrbanEdge Social Media Strategy; FitFusion Rebrand Legal Review; Q3 Content Calendar Development; ; ; UrbanEdge Market Research
google_gemma-3-1b-it,google,True,2.9585752487182617,2025-10-01T10:25:02.107042,1,5,4,25.0,5.0,-20.0,0.0,4,0,0,0,0,0.18879573047161102,0.18879573047161102,0,0.0,Merged: cluster_001 + cluster_002 + cluster_003 + cluster_004 + cluster_005
google_gemini-2.0-flash-lite,google,True,4.347864151000977,2025-10-01T10:30:21.206529,7,15,8,42.857142857142854,20.0,-22.857142857142854,-16.69102155662768,4,0,0,0,0,0.12805126394544328,0.12805126394544328,0,0.0,Merged: cluster_001 + cluster_006 + cluster_011; Merged: cluster_002 + cluster_007 + cluster_012; Merged: cluster_003 + cluster_009 + cluster_013; Merged: cluster_004 + cluster_010 + cluster_014; Merged: cluster_005 + cluster_015; ; 
google_gemini-1.5-pro,google,True,1.7519559860229492,2025-10-01T10:32:29.714423,13,15,2,23.076923076923077,20.0,-3.0769230769230766,-2.4404249591926765,4,0,0,0,0,0.829263605750524,0.829263605750524,12,0.9230769230769231,Merged: cluster_001 + cluster_006 + cluster_011; FitFusion Rebranding Project Kickoff and Initial Planning; TechNova New Product Launch: Initial Planning and Deadlines; GreenScape Sustainability Report: Initial Planning and Data Collection; UrbanEdge Social Media Strategy Development; FitFusion Rebranding: Legal Review and Tagline Revisions; Q3 Content Calendar Development and Planning; TechNova Product Launch Campaign Budget Finalization; GreenScape Sustainability Report Deadline Extension and Project Impact; FitFusion Rebranding: Brand Guidelines Development and Legal Review; TechNova Product Launch: Product Descriptions and Compliance Review; GreenScape Sustainability Report: Data Visualization Development and Review; UrbanEdge Market Expansion: Market Research and Compliance Review
google_gemini-2.0-flash,google,True,1.364166498184204,2025-10-01T10:27:48.127011,13,15,2,23.076923076923077,20.0,-3.0769230769230766,-2.4404249591926765,4,0,0,0,0,0.8283444746182516,0.8283444746182516,12,0.9230769230769231,Merged: cluster_001 + cluster_006 + cluster_011; FitFusion Rebranding Project - Initial Planning and Timeline; TechNova Product Launch Campaign - Initial Planning and Timeline; GreenScape Sustainability Report - Planning and Timeline; UrbanEdge Social Media Strategy - Planning and Timeline; FitFusion Rebranding - Legal Review and Tagline Approval; Q3 Content Calendar Development and Finalization; TechNova Product Launch - Budget Finalization; GreenScape Sustainability Report - Deadline Extension Approval and Timeline Adjustments; FitFusion Rebranding - Brand Guidelines Development and Approval; TechNova Product Launch - Product Description Development and Compliance Review; GreenScape Sustainability Report - Data Visualization Development and Review; UrbanEdge Market Expansion - Market Research and Compliance Review
google_gemini-1.5-flash-002,google,True,6.062293291091919,2025-10-01T10:24:58.604588,9,7,-2,33.666666666666664,42.857142857142854,9.19047619047619,-1.033702946080309,4,0,0,0,0,0.40838689274258083,0.40838689274258083,4,0.4444444444444444,"EcoBloom Summer Campaign: Planning & Client Revisions; ; ; ; ; GreenScape Sustainability Report: Content, Design & Legal; UrbanEdge Social Media Strategy & Market Research; Q3 Content Calendar Development; Merged: cluster_007 + cluster_004"
google_gemini-2.5-pro,google,True,34.220728158950806,2025-10-01T10:28:32.895017,15,6,-9,3.6666666666666665,50.0,46.333333333333336,10.11750886185174,4,0,0,0,0,0.052618789672851565,0.052618789672851565,1,0.06666666666666667,; ; ; ; ; ; ; ; ; ; ; ; ; ; Q3 Content Calendar Planning and Finalization
xai_grok-2-1212,xai,True,7.459654808044434,2025-10-01T10:29:29.029679,9,15,6,33.333333333333336,20.0,-13.333333333333336,-10.397115831073018,4,0,0,0,0,0.2993084771765603,0.2993084771765603,2,0.2222222222222222,Merged: cluster_001 + cluster_006 + cluster_011; Merged: cluster_002 + cluster_012; Merged: cluster_003 + cluster_013; Merged: cluster_004 + cluster_010 + cluster_014; Merged: cluster_005 + cluster_015; FitFusion Rebranding Legal Review; Q3 Content Calendar Development; ; 
google_gemma-3-27b-it,google,True,19.907582998275757,2025-10-01T10:29:51.444253,9,6,-3,8.222222222222221,14.333333333333334,6.1111111111111125,-5.4129019122290885,4,0,0,0,0,0.02091807292567359,0.02091807292567359,0,0.0,Merged: cluster_001 + cluster_006; ; ; ; ; ; ; ; 
openai_gpt-5,openai,True,41.72645592689514,2025-10-01T10:32:20.958689,14,15,1,21.428571428571427,20.0,-1.428571428571427,-0.5084205624036242,4,0,0,0,0,0.8601649169410978,0.8601649169410978,13,0.9285714285714286,EcoBloom Summer Campaign Kickoff and Scheduling; FitFusion Rebrand Kickoff and Timeline Planning; TechNova Product Launch Kickoff and Milestones; GreenScape Sustainability Report Kickoff and Timeline; UrbanEdge Social Media Strategy Planning and Timelines; Merged: cluster_006 + cluster_011; FitFusion Trademark Review and Tagline Selection; Companywide Q3 Content Calendar Development; TechNova Campaign Budget Development and Approval; GreenScape Sustainability Report Deadline Extension Coordination; FitFusion Brand Guidelines Development and Legal Review; TechNova Product Descriptions Development and Compliance; GreenScape Data Visualizations Creation and Approval; UrbanEdge Market Research Development and Compliance Review
