MODEL,OVERALL_SCORE,SUCCESS_RATE,SUCCESSFUL_CLUSTERS,TOTAL_CLUSTERS,INPUT_TOKENS,OUTPUT_TOKENS,TOTAL_TOKENS,TOKEN_COST,DURATION,TITLE_SCORE_AVG,SUMMARY_SCORE_AVG,ACTION_ITEMS_SCORE_AVG,PARTICIPANTS_SCORE_AVG,TAGS_SCORE_AVG,URGENCY_SCORE_AVG,STATUS_SCORE_AVG
google_gemini-2.0-flash,82.61870490595638,100.0,15,15,44750,6328,51078,0.007006200000000001,47.84307384490967,87.44736378172684,45.537983085753396,100.0,100.0,100.0,100.0,100.0
google_gemini-2.0-flash-001,78.35671664559307,100.0,15,15,44729,6287,51016,0.0069877,47.42377471923828,85.81591581618275,36.34675750194285,100.0,100.0,77.17171717171718,100.0,93.33333333333333
xai_grok-2-1212,69.6832677978583,100.0,15,15,43289,7021,50310,0.00015678800000000002,90.54453754425049,79.10848927479448,32.4584533290139,91.17250940780352,100.0,45.36544936544936,100.0,46.666666666666664
google_gemini-2.5-flash,68.7960133575807,100.0,15,15,95681,6546,102227,0.04506929999999999,281.44137024879456,82.16833478164695,15.102279612574451,102.009842009842,100.0,46.02615902615903,100.0,53.333333333333336
google_gemini-2.5-pro,67.82460047574486,100.0,15,15,78707,5864,84571,0.15702375,319.8422567844391,75.36156175224208,19.779886515647714,107.06034706034706,100.0,43.84848484848485,100.0,33.333333333333336
google_gemini-2.0-flash-lite,67.3566569106716,100.0,15,15,44940,6653,51593,0.0053664,50.33103823661804,77.05979193315075,19.96738551188434,95.70406173347348,100.0,48.78787878787879,100.0,53.333333333333336
google_gemini-2.0-flash-lite-001,67.14517813587089,100.0,15,15,44958,6830,51788,0.00542085,51.352081060409546,76.23388100197666,19.619713460769667,94.24436674436673,100.0,50.424242424242415,100.0,60.0
xai_grok-3,66.88554192293432,100.0,15,15,38417,5808,44225,0.000134914,261.2759072780609,78.50060172004214,14.991484477725585,102.02331002331,100.0,50.323232323232325,93.33333333333333,40.0
google_gemini-2.5-flash-lite,66.32841926771411,100.0,15,15,45651,6987,52638,0.0073599,27.79426407814026,76.31664133290597,24.749092086753873,93.41608391608389,100.0,44.59207459207459,100.0,26.666666666666668
xai_grok-2-vision-1212,66.2949498335722,100.0,15,15,43109,6061,49170,0.000146828,77.7697639465332,78.2931175120543,19.86774455950994,97.4891774891775,100.0,46.84485884485884,93.33333333333333,26.666666666666668
google_gemma-3n-e2b-it,45.67913973874743,66.66666666666666,10,15,27516,3515,31031,0.0,71.22501492500305,56.44472205845224,9.635469537424099,71.70370370370371,66.66666666666667,26.588966588966585,66.66666666666667,13.333333333333334
google_gemma-3-27b-it,44.83495324999625,66.66666666666666,10,15,24747,3969,28716,0.0,102.44589400291443,46.738462212241025,16.487535579173024,68.2051282051282,66.66666666666667,34.34343434343433,60.0,33.333333333333336
google_gemma-3n-e4b-it,35.678568572225984,53.333333333333336,8,15,21978,2852,24830,0.0,49.25809907913208,41.02933584698759,8.628040821488359,57.03703703703704,53.333333333333336,22.77367077367077,53.333333333333336,13.333333333333334
google_gemma-3-12b-it,26.797886295342686,40.0,6,15,11864,2402,14266,0.0,22.942339420318604,30.820985743520954,7.677069359852678,40.0,40.0,19.31313131313131,40.0,13.333333333333334
google_gemma-3-4b-it,25.975701682932126,40.0,6,15,11453,2813,14266,0.0,26.669243574142456,30.820985743520954,7.015059736939254,37.350427350427346,40.0,16.77777777777778,40.0,13.333333333333334
google_gemma-3-1b-it,22.329473745778667,40.0,6,15,14770,1824,16594,0.0,11.57148790359497,21.337275428909567,2.4583822136409315,41.48148148148148,40.0,7.014652014652015,40.0,13.333333333333334
